Longitud,Latitud,Elevacion
-71.97772927737444,-13.52368985782106,3381.0
-71.9795703421544,-13.5227766130143,3395.0
-71.9798993604298,-13.52345263096231,3388.0
-71.98085320126734,-13.52293481668088,3388.0
-71.9812206127138,-13.52387046972694,3388.0
-71.98685875809397,-13.52241091838074,3424.0
-71.98697563307798,-13.52248294436091,3424.0
-71.98702068516828,-13.5225560368084,3424.0
-71.98711062285847,-13.5226225928619,3424.0
-71.98711731857586,-13.52262729149772,3424.0
-71.9871313159294,-13.52262679210368,3424.0
-71.98714979934594,-13.52262942791223,3424.0
-71.98716947721607,-13.52262598019504,3424.0
-71.9871919638311,-13.52262793031019,3424.0
-71.98720434025098,-13.52262969261169,3424.0
-71.98722240510833,-13.52262850184617,3424.0
-71.9872371059063,-13.5226317910695,3424.0
-71.98725534396675,-13.52263049748897,3424.0
-71.98726961149657,-13.52262991660762,3424.0
-71.98727988866675,-13.52263005028549,3424.0
-71.98729419342435,-13.52262946832169,3424.0
-71.98730499770556,-13.52263345091037,3424.0
-71.98732336602076,-13.52263215475883,3424.0
-71.98732966223037,-13.5226330064471,3424.0
-71.98735034613456,-13.52263327806859,3424.0
-71.98736297145695,-13.52263498469199,3424.0
-71.98737966430113,-13.5226359760478,3424.0
-71.98739184104573,-13.52263382293063,3424.0
-71.98740678540052,-13.52263710723974,3424.0
-71.98741947073579,-13.52263881931733,3424.0
-71.98743170026849,-13.52263666456867,3424.0
-71.98744260680644,-13.52264067420706,3424.0
-71.98745667999812,-13.52263622132886,3424.0
-71.98746714588272,-13.52263635975875,3424.0
-71.98748354765638,-13.52263347583713,3424.0
-71.98749313523169,-13.52262584183423,3424.0
-71.98750319431124,-13.52262208331302,3427.0
-71.98751968156851,-13.52261917635929,3427.0
-71.98753206960559,-13.5226169918809,3427.0
-71.98754632557696,-13.52261248622451,3427.0
-71.98756105060743,-13.5226118819432,3427.0
-71.98757350351859,-13.52260968466189,3427.0
-71.98758784100053,-13.52260515923362,3427.0
-71.98760033832995,-13.52260295401921,3427.0
-71.9876128552281,-13.52260074544022,3427.0
-71.98762769420391,-13.52260012918224,3427.0
-71.98763187793826,-13.52259939167636,3427.0
-71.98765283028553,-13.52259569705521,3427.0
-71.98766542838479,-13.5225934755381,3427.0
-71.98767804626908,-13.52259125068309,3427.0
-71.98769258971919,-13.52258667584032,3427.0
-71.98770712898636,-13.52258210997529,3427.0
-71.98772163647813,-13.52257757408586,3427.0
-71.98773617286852,-13.52257302891821,3427.0
-71.98774651489038,-13.52256921143855,3427.0
-71.98776301301271,-13.52256229855443,3427.0
-71.98777955209968,-13.52255536807085,3427.0
-71.98779653297986,-13.52255239989727,3427.0
-71.98781122048393,-13.52254780577741,3427.0
-71.98782826539033,-13.52254482291537,3427.0
-71.98784495720011,-13.52253784119672,3427.0
-71.98786402463931,-13.52253246640126,3427.0
-71.9878765096218,-13.52252620557102,3427.0
-71.98789135844694,-13.52252155985042,3427.0
-71.98790426915063,-13.52251929120683,3427.0
-71.98792136645815,-13.52251634455972,3427.0
-71.9879378892135,-13.52250950107358,3427.0
-71.98795250654483,-13.52250501487961,3427.0
-71.98796520395405,-13.52250289491809,3427.0
-71.98797596862742,-13.52250314533713,3427.0
-71.98799098270426,-13.5225026882076,3427.0
-71.98800830496009,-13.52250389744894,3427.0
-71.98801909774025,-13.5225041484884,3427.0
-71.98803219115165,-13.52250606780254,3427.0
-71.98804758561498,-13.52250965626397,3427.0
-71.98806298679874,-13.52251324632303,3427.0
-71.98808266265205,-13.52251613153288,3427.0
-71.98809808273012,-13.52251972571994,3427.0
-71.9881135095627,-13.52252332158313,3427.0
-71.9881266507586,-13.52252524800722,3427.0
